Word,RecordCount,TotalOccurrences,FirstLetter
"COTTER",2,5,"C"
"CELINE",2,4,"C"
"CHIMNEY",2,4,"C"
"CONTE",2,4,"C"
"CINDI",2,4,"C"
"CRYSTAL",2,4,"C"
"CHRISTIAN",2,4,"C"
"COLBY",2,4,"C"
"CURTIS",2,4,"C"
"CRAYNOCK",2,4,"C"
"CLAUDIA",2,4,"C"
"CHANDLEY",2,4,"C"
"CIPRIANI",2,4,"C"
"CASEY",2,4,"C"
"CERTO",2,4,"C"
"COLE",2,4,"C"
"CUMBY",2,4,"C"
"CHRYST",2,3,"C"
"CONWAY",2,3,"C"
"CANDICE",2,2,"C"
"COOKIE",2,2,"C"
"CAPUCIATI",1,3,"C"
"CYNTHIA",1,3,"C"
"COFFIN",1,3,"C"
"CHERYL",1,3,"C"
"CLYDE",1,3,"C"
"CECELIA",1,2,"C"
"CAJA",1,2,"C"
"CARY",1,2,"C"
"CROUCH",1,2,"C"
"CASTELLANOS",1,2,"C"
"CRAWFORD",1,2,"C"
"CARLY",1,2,"C"
"CORANNA",1,2,"C"
"CAMPBELL",1,2,"C"
"CAPPELLI",1,2,"C"
"CENTER",1,2,"C"
"CHENG",1,2,"C"
"CHRISTINI",1,2,"C"
"CLASSICAL",1,2,"C"
"CLEAVER",1,2,"C"
"COOK",1,2,"C"
"CARIONA",1,2,"C"
"CORWIN",1,2,"C"
"COTTLE",1,2,"C"
"COXE",1,2,"C"
"CAROLE",1,2,"C"
"CONNIE",1,2,"C"
"CHAD",1,2,"C"
"CATHLEEN",1,2,"C"
"CAMARDELLA",1,2,"C"
"CORBETT",1,2,"C"
"CYR",1,2,"C"
"CONNOLLY",1,2,"C"
"COHEN",1,2,"C"
"CURRAN",1,2,"C"
"CARUSO",1,2,"C"
"COLONNELLI",1,2,"C"
"COLLEEN",1,2,"C"
"CHRISTINA",1,2,"C"
"CARI",1,1,"C"
"CREAM",1,1,"C"
"DAVID",44,84,"D"
"DIANE",11,22,"D"
"DONALD",10,21,"D"
"DANIEL",9,18,"D"
"DAVIS",7,17,"D"
"DENNIS",7,14,"D"
"DONNA",7,14,"D"
"DUPONT",7,14,"D"
"DOYLE",6,16,"D"
"DOUGLAS",6,11,"D"
