Word,RecordCount,TotalOccurrences,FirstLetter
"COTTAGE",3,3,"C"
"CHRISTIAN",3,3,"C"
"CHERRY",3,3,"C"
"CHRISTINE",3,3,"C"
"CORP",3,3,"C"
"CAROLINE",3,3,"C"
"CANDACE",3,3,"C"
"COMINGS",3,3,"C"
"CYNTHIA",3,3,"C"
"CARLISLE",3,3,"C"
"CONNOR",3,3,"C"
"CORRIE",2,2,"C"
"CARL",2,2,"C"
"COOPER",2,2,"C"
"CENTER",2,2,"C"
"CLARK",2,2,"C"
"CORINNE",2,2,"C"
"CALVEZ",2,2,"C"
"CRAWFORD",2,2,"C"
"CALLUM",2,2,"C"
"CONSERVAN",2,2,"C"
"CUMMISKEY",2,2,"C"
"CURTIS",2,2,"C"
"CORCORAN",2,2,"C"
"CEDAR",2,2,"C"
"CARBONE",2,2,"C"
"CAROLE",2,2,"C"
"COAST",2,2,"C"
"CRESSMAN",2,2,"C"
"CHERYL",2,2,"C"
"CHARLENE",2,2,"C"
"CONNELLY",2,2,"C"
"CARLENE",1,1,"C"
"CHILDREN",1,1,"C"
"CORALBERRY",1,1,"C"
"CHRISTINA",1,1,"C"
"CEAFSV2",1,1,"C"
"CHURCH",1,1,"C"
"COHEN",1,1,"C"
"COOK",1,1,"C"
"CORMORANT",1,1,"C"
"CARUSO",1,1,"C"
"CONVERSANCY",1,1,"C"
"CAB",1,1,"C"
"CULLEN",1,1,"C"
"COONEMUS",1,1,"C"
"COLONNELLI",1,1,"C"
"CLOSTER",1,1,"C"
"CRANE",1,1,"C"
"CLAYTON",1,1,"C"
"CLEVELAND",1,1,"C"
"CANNON",1,1,"C"
"COSTA",1,1,"C"
"CORBETT",1,1,"C"
"CULLION",1,1,"C"
"COSTELLO",1,1,"C"
"CONNELL",1,1,"C"
"CHANDLEY",1,1,"C"
"CARLOS",1,1,"C"
"CHADWICK",1,1,"C"
"CHRYST",1,1,"C"
"COXE",1,1,"C"
"CECELIA",1,1,"C"
"CELESTE",1,1,"C"
"COUGHLAN",1,1,"C"
"CHRYSALIS",1,1,"C"
"CARINAL",1,1,"C"
"CLAUDIA",1,1,"C"
"CHERUBINI",1,1,"C"
"CIPRIANI",1,1,"C"
"CRYSTAL",1,1,"C"
"CRONIN",1,1,"C"
"CAMARDELLA",1,1,"C"
"CLIFTON",1,1,"C"
"CAPITAL",1,1,"C"
"CINDY",1,1,"C"
"COLEMAN",1,1,"C"
"COELHO",1,1,"C"
"CASTELLANOS",1,1,"C"
"CARRAH",1,1,"C"
"CONNELLI",1,1,"C"
"CHARLOTTE",1,1,"C"
"CYR",1,1,"C"
"COUSINS",1,1,"C"
"CRAIG",1,1,"C"
"CARRIE",1,1,"C"
"CORRIGAN",1,1,"C"
"CHRIS",1,1,"C"
"CROWLEY",1,1,"C"
"CHASE",1,1,"C"
"CREVELING",1,1,"C"
"CHRISTOPER",1,1,"C"
"CHIMNEY",1,1,"C"
"CERULLI",1,1,"C"
"CASHMAN",1,1,"C"
"COREY",1,1,"C"
"CYRONAK",1,1,"C"
"CARSON",1,1,"C"
"CASEY",1,1,"C"
"CLAIRE",1,1,"C"
"CARY",1,1,"C"
"CRESCENT",1,1,"C"
"CONWAY",1,1,"C"
"CLUB",1,1,"C"
"CAMPBELL",1,1,"C"
"CHARON",1,1,"C"
"CARLA",1,1,"C"
"CHRISTIANNE",1,1,"C"
"CHARLIE",1,1,"C"
"COWELL",1,1,"C"
"CASCIO",1,1,"C"
"CATHARINE",1,1,"C"
"CLAUDE",1,1,"C"
"CONSTANCE",1,1,"C"
"CASADY",1,1,"C"
"CAREY",1,1,"C"
"CHELSEA",1,1,"C"
"CELINE",1,1,"C"
"CODY",1,1,"C"
"CITRONE",1,1,"C"
"CORPORATION",1,1,"C"
"DAVID",23,23,"D"
"DODGE",13,13,"D"
"DANIEL",9,9,"D"
"DENNIS",8,8,"D"
"DIANE",6,6,"D"
"DONALD",5,5,"D"
"DOUGLAS",5,5,"D"
"DEVELOPMENT",5,5,"D"
"DISTRICT",5,5,"D"
"DAVIS",4,4,"D"
"DONNA",3,3,"D"
"DEBRA",3,3,"D"
"DUALE",3,3,"D"
"DAMM",2,3,"D"
"DEVEREUX",2,2,"D"
"DOYON",2,2,"D"
"DR",2,2,"D"
"DEVINE",2,2,"D"
"DOYLE",2,2,"D"
"DESANTIS",2,2,"D"
"DOWLING",2,2,"D"
"DEAN",2,2,"D"
"DOCK",2,2,"D"
"DORA",2,2,"D"
"DOROTHY",2,2,"D"
"DESMARAIS",2,2,"D"
"DRIVE",2,2,"D"
"DUGGAN",1,2,"D"
"DALY",1,2,"D"
"DANITA",1,1,"D"
"DEMPSEY",1,1,"D"
"DEPEW",1,1,"D"
"DULAC",1,1,"D"
"DUNNE",1,1,"D"
"DEMATTEO",1,1,"D"
"DORRIE",1,1,"D"
"DICKINSON",1,1,"D"
"DANGELAS",1,1,"D"
"DAUBERT",1,1,"D"
"DOROSKI",1,1,"D"
"DAWN",1,1,"D"
"DELONG",1,1,"D"
"DAIBER",1,1,"D"
"DARLING",1,1,"D"
"DUGUID",1,1,"D"
"DOIRON",1,1,"D"
"DOLORIS",1,1,"D"
"DEBORAH",1,1,"D"
"DUFF",1,1,"D"
"DONATO",1,1,"D"
"DEMOS",1,1,"D"
"DELANEY",1,1,"D"
"DAMIAN",1,1,"D"
"DANA",1,1,"D"
"DRIESMAN",1,1,"D"
