Word,RecordCount,TotalOccurrences,FirstLetter
"BROWN",4,8,"B"
"WALSH",4,8,"W"
"DANA",4,7,"D"
"EDWARDS",4,7,"E"
"CLAIRE",4,7,"C"
"CARL",4,7,"C"
"WILLIAMS",4,7,"W"
"DON",4,6,"D"
"CHARLIE",4,4,"C"
"WEINSTEIN",3,9,"W"
"STOVER",3,9,"S"
"CHENOT",3,8,"C"
"VAN",3,8,"V"
"GETSCHOW",3,8,"G"
"BERRY",3,8,"B"
"VALENTINE",3,8,"V"
"MOSS",3,8,"M"
"JOHNSON",3,8,"J"
"HACKSTAFF",3,8,"H"
"HUNTINGTON",3,8,"H"
"HINTHORN",3,8,"H"
"GILBERT",3,8,"G"
"DELANEY",3,8,"D"
"DUFF",3,8,"D"
"CURTISS",3,8,"C"
"COSTELLO",3,8,"C"
"BALLARD",3,8,"B"
"WADSWORTH",3,8,"W"
"POWERS",3,8,"P"
"MORRIS",3,8,"M"
"MELLOR",3,8,"M"
"HOWE",3,8,"H"
"MINADEO",3,8,"M"
"HILL",3,8,"H"
"RYAN",3,8,"R"
"MARINO",3,8,"M"
"LEARY",3,8,"L"
"LICHT",3,8,"L"
"SHEA",3,8,"S"
"COMINGS",3,8,"C"
"HEINEMAN",3,8,"H"
"OLSON",3,8,"O"
"BENJAMIN",3,8,"B"
"KAHN",3,8,"K"
"MOYNAHAN",3,8,"M"
"SCHROEDER",3,8,"S"
"HOROWITZ",3,7,"H"
"GRETCHEN",3,7,"G"
"BOEHM",3,7,"B"
"DIANA",3,7,"D"
"CLIFFORD",3,7,"C"
"HAYES",3,7,"H"
"ALLAN",3,7,"A"
"BEAUREGARD",3,7,"B"
"LOUISE",3,6,"L"
"KAUFMANN",3,6,"K"
"SAWYER",3,6,"S"
"BETSY",3,6,"B"
"ROBERTS",3,6,"R"
"ANDREA",3,6,"A"
"MAURICE",3,6,"M"
"DOROTHY",3,6,"D"
"KRISTEN",3,6,"K"
"DIANNE",3,6,"D"
"POLLY",3,6,"P"
"PAM",3,6,"P"
"GRACE",3,6,"G"
"CLARK",3,6,"C"
"KURT",3,6,"K"
"GERARD",3,6,"G"
"DARROW",3,6,"D"
"ROGER",3,6,"R"
"CRAIG",3,6,"C"
"SHIRLEY",3,6,"S"
"ARLENE",3,6,"A"
"BETTY",3,6,"B"
"JUSTIN",3,6,"J"
"JEFFREY",3,6,"J"
"NICHOLAS",3,6,"N"
"TINA",3,6,"T"
"MELISSA",3,6,"M"
"MICHELE",3,6,"M"
"ROBIN",3,6,"R"
"SHELLEY",3,6,"S"
"MORAN",3,6,"M"
"HEIDI",3,6,"H"
"AARON",3,6,"A"
"FIORATO",3,6,"F"
"SUZANNE",3,6,"S"
"SHERRY",3,6,"S"
"BAYARD",3,6,"B"
"MAURA",3,6,"M"
"NORMAN",3,6,"N"
